"uk	RT @FCShakhtar: 💬 «Показати"	 наскільки сильною є наша Україна» 🇺🇦  Тарас Степаненко – про благодійний тур «Шахтаря»	 збір національної кома…						
"uk	RT @mil_in_ua: 🇺🇦 Фондову колекцію музею Києва поповнило хвостове оперення збитого російського штурмовика Су-25СМ  Частину літака ПКС Росії…"								
"uk	RT @mil_in_ua: 🇺🇦Україна отримала ще 23 автомобілі швидкої допомоги від партнерів із різних країн світу  https://t.co/dSjji8SBKc  #Україна…"								
"uk	RT @inJesus1994: #Ukraine Жителі Демидіва навмисно затопили своє село разом із величезними полями та болотами навколо нього"	 створивши боло…							
"uk	RT @Melton14Yvonne: Комуністична партія Китаю є основною причиною лих у всьому світі. #Украина #Россия #агрессияРоссии #вторжениеРоссии #st…"								
"ru	https://t.co/0kJvwWDvb8  Звезда проекта «Хочу в ВИА Гру» Диана Иваницкая вышла замуж  #взаимно #взаимныйфолловинг #стопроссия #stoprussia #народна_війна #війна #нетвойне #NoWar #Новини #Новости #сми #Ukraine #россия #Украина #сша #политика"								
"ru	""#Ukraine Путин намерены воевать с Украиной """"до последнего россиянина"""""	 иму безразлична судьба России	 он очень старый и больной человек	" заявил Лавров https://t.co/rFaNJy68DQ"""					
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України знищили техніку та живу силу на острові Зміїний  Деталі: https://t.co/igdKlVcGRU  #Україна #Ukraine"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	RT @mil_in_ua: 🇺🇸🇺🇦В США відвантажують чергову партію допомоги Україні  Цього разу це снаряди для гаубиць калібру 155 мм  Деталі: https://t…"								
"uk	RT @mil_in_ua: 🇺🇸🇺🇦США підготували до 100 українських інструкторів для використання американських артсистем  Деталі: https://t.co/uNxze5Vx4…"								
"uk	RT @Jojo88811182: #dtiys"	 репости вітаються  Умови в треді #dtiyschallenge  #darkart #fantasyart #Mariupol #ukrart #prayforukraine #inkart…							
"uk	Надобраніч! Ти добре зробив"	 друже! Сьогодні ввечері ми вип'ємо за вас у мене вдома. Мій герой! Спочивай	 мій народ у безпеці	 бо ти все віддав #GhostOfKyiv #RIP #Ukraine   https://t.co/mVdGRulC3x   ~ Bunny🐇😘  #BunnyLove #KindnessOnly #DevDisabilityAssistant 🤖					
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	RT @dmitrijakhatov: #Mariupol"	 #Ukraine [04.2022] Танк окупанта обстрілює житловий будинок у підвалі якого знаходяться 16 цивільних громадя…							
"uk	Анджеліна Джолі"	 яка прибула в Україну з гуманітарною місією	 розділила обід з біженцями на вокзалі у Львові.❤️🇺🇦 #Україна #Ukraine https://t.co/Cgy8OP2WNt						
"ru	RT @S_vivat: Дрон ВСУ🇺🇦 уничтожает два БМП российских фашистов.  #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co/Si5h2suofx"								
"uk	RT @mil_in_ua: 🇺🇦 Снайпер ДШВ: “Якби я ставив мітки на снайперській зброї"	 то на моїй гвинтівці вже б точно не було місця”  Снайпер одного…							
"uk	Захистити #Україну - Будувати оборонні позиції Defend #Ukraine - Building defensive positions  Що ви можете зробити як цивільна особа для підтримки оборони України  #UkraineUnderAttack https://t.co/MYQEJ56tr3"								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	https://t.co/9qBOlLrUsC  Оккупанты распространяют фейки о захвате Киева и вывозят в РФ людей из Харьковской области  #взаимно #взаимныйфолловинг #стопроссия #stoprussia #народна_війна #війна #нетвойне #NoWar #Новини #Новости #сми #Ukraine #россия #Украина #сша #политика"								
"uk	RT @art_prosto___: Це ті самі маленькі кізоньки 👀 #Ukraine #украрт #укртві #арткозацтво https://t.co/UCOStX8tVA"								
"uk	❗️Важливо від Маріупольскої міськради.  Офіційно. Сьогодні можлива евакуація мирного населення з Маріуполя до Запоріжжя. Збір людей о 16:00 біля ТРЦ «Порт Сіті».   #Маріуполь #Mariupol #UkraineRussiaWar #Ukraine"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	""RT @6one_4ev: #StandWithUkraine #Ukraine #stoprussia #stoprussianagression  #Mariupol"	" """"Азовсталь"""" https://t.co/fWw7K0alWb"""							
"ru	ССО показали работу по оккупантам под Харьковом: попали в танки и блиндаж россиян – видео https://t.co/xoaA20IDPW #Russia #Ukraine"								
"uk	Коли ви побачите братерські стосунки з цими двома лідерами"	 знайте	 що вони здатні змінити рівняння на користь Великої Росії #Ukraine https://t.co/2RS2ejnl42						
"uk	RT @mil_in_ua: 🇵🇱#Польща передала 🇺🇦Україні понад дві сотні танків T-72 та бойові машини піхоти  Цих танків вистачить на оснащення двох тан…"								
"uk	RT @mil_in_ua: 🇺🇦 Збройні Сили України знищили місце розташування боєприпасів російських військових  Також бійці уразили техніку росіян"	 як…							
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України взяли на озброєння трофейну російську броньовану вантажівку Урал «Торнадо-У»  Автомобіль допомагає у…"								
"ru	RT @S_vivat: Игрушки которыми играли украинские дети убитые российскими фашистами в Украине. У каждой игрушки был свой маленький владелец.…"								
"uk	Навіть Анджеліна Джолі приїхала в Україну"	 бо в нас крута та доступна  стоматологія🔥  #ukraine							
"ru	Новости из дурдома 🤡  Кива теперь призывает россию применить оружие массового поражения по Львову.  👉В ответ предлагаем превентивный удар прикладом по его лысой пустой голове.  🇺🇦 #news #press #украина #stoprussia #ukraine #putin #russia #safeukraine #like4like #instagram https://t.co/JcPMaHTzWB"								
"uk	RT @mil_in_ua: 🇺🇦Російська ППО не змогла збити українську “Валькірію”  Волонтери  показали"	 як безпілотники бачать невлучні пуски ППО ворог…							
"uk	RT @mil_in_ua: 🇺🇦Бійці 24-ї бригади ліквідували російських десантників на Луганщині  Семеро окупантів лишилися живими"	 всіх інших ліквідова…							
"uk	RT @mil_in_ua: 🇺🇦 Для бригад Збройних Сил України благодійники придбали сучасні позашляховики  Українські захисники отримають машини моделі…"								
"ru	#Россия #русский #Украина #Русские_солдаты #Russia #Ukraine ⬇️Семьям российских солдат. Контактные данные для подтверждения безопасности российских солдат в Украине. https://t.co/NDEUvaWop1"								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	RT @S_vivat: Русский фашизм (очень кратко). Российским великодержавным шовинистам-фашистам"	 путинистам	 имперцам и прочей рашистской нечест…						
"ru	RT @Ukraine_Twi: Bayraktar TB2 Вооруженных сил Украины уничтожил русскую ЗРК C-300 #Ukraine #Russia #War #RussianUkrainianWar  #Украина #Ро…"								
"ru	RT @S_vivat: Дрон ВСУ🇺🇦 уничтожает два БМП российских фашистов.  #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co/Si5h2suofx"								
"ru	""""""Я это называю 911"""": Зеленский сделал важное заявление по гарантиям безопасности для #Ukraine https://t.co/moXYDWpNND"""								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"ru	Замученные и расстрелянные. Нацполиция показала массовое захоронение возле Бучи https://t.co/AnEMeNQrJq #Russia #Ukraine"								
"ru	Кременная. Появилось видео с последствиями взрыва на совещании оккупантов и коллаборантов https://t.co/Djz1ZaToZv #Russia #Ukraine"								
"uk	RT @mil_in_ua: Четверть сил РФ які були введені на територію України вже не боєздатні – Британська розвідка  Деталі: https://t.co/e9fOUPzH6…"								
"uk	RT @mil_in_ua: 🇺🇸🇺🇦Сполучені Штати почали додаткові тренування військових Збройних Сил України на своїх військових об’єктах в Німеччині  Ця…"								
"ru	В Конгресс внесли проект резолюции об использовании армии США в Украине в случае эскалации агрессии РФ https://t.co/CAQ9uycepS #Ukraine #Russia"								
"uk	#Ukraine #PeaceforUkraine Дякую Даріус Мажинтас! (Литва) https://t.co/AxwJCicbHT"								
"ru	Как больно и горько смотреть на это🥹 #putun #Ukraine #sssr #Russia https://t.co/XsnoqVZLiG"								
"uk	RT @mil_in_ua: 🇺🇦 Українські сили знищили за допомогою американської зброї сучасну російську бронетехніку  По бронетехніці росіян влучно ві…"								
"uk	""Сергій Брильов """"Крило Янгола"""" мармур"	позолота	2003 р.Н-40 см	слайд-шоу	"відео #art #artist #sculptor #sculpture_art #sculpture #artgallery #скульптор #скульптура #Brylov #BrylovSerhii #Брильов #СергійБрильов   #artwork #Kyiv  #Ukraine #war #war_ukraine"""				
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	RT @Ukraine_Twi: Артиллерия 54-й ОМБр ВСУ уничтожила скопление русской бронетехники в посёлке Старомихайловка"	 Донецкая область #Ukraine #R…							
"uk	RT @mil_in_ua: 🇳🇴#Норвегія має намір поставити до 🇺🇦України гусеничні 155-мм самохідні гаубиці  Мова йде про артилерійські установки M109A3…"								
"uk	RT @yMIi8SKmWgQtq1r: @nexta_tv Башар Асад"	 близький союзник Путіна	 вбиває мирних жителів у Сирії #Ukraine  https://t.co/7NSinbqzLA						
"ru	RT @S_vivat: Игрушки которыми играли украинские дети убитые российскими фашистами в Украине. У каждой игрушки был свой маленький владелец.…"								
"ru	""RT @S_vivat: Мариуполь. Дети на заводе """"Азовсталь"""". Каждый день кто-то из них погибает. Русские их морят голодом"	 бомбят бомбами	" потому чт…"""						
"ru	RT @Za_nashihVZ: Уничтожение укронацистов артиллерией ВС РФ😎 #Путин #Зеленский #байден #война #россия #украина #Putin #Zelensky #Biden #War…"								
"ru	Братчук назвал счет по вражеским самолетам в Одесской области  https://t.co/igE2xVoe7U  #Ukraine #war #PutinStopWar"								
"uk	RT @mil_in_ua: 🇺🇸🇺🇦США підготували до 100 українських інструкторів для використання американських артсистем  Деталі: https://t.co/uNxze5Vx4…"								
"uk	RT @mil_in_ua: 🇺🇦 Збройні Сили України знищили місце розташування боєприпасів російських військових  Також бійці уразили техніку росіян"	 як…							
"ru	https://t.co/3jXXcWpttl  Play-to-Earn: пирамида или «новая экономика»?  #взаимно #взаимныйфолловинг #стопроссия #stoprussia #народна_війна #війна #нетвойне #NoWar #Новини #Новости #сми #Ukraine #россия #Украина #сша #политика"								
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	RT @mil_in_ua: 🇺🇦 Російське командування відправило на розвідку українських позицій безпілотники російської рятувальної служби  Безпілотник…"								
"uk	RT @LobbyXua: Шукаємо 📸 Керівника/цю відділу редагування фотографій та контролю якості до Violet Studio https://t.co/DpXiFLQMs9 #Україна #U…"								
"ru	Буряты против чеченцев: в Чернобаевской громаде оккупанты РФ перестреляли друг друга https://t.co/oYQG4560jX #Russia #Ukraine"								
"ru	RT @S_vivat: Илон Маск"	 кроме Starlink	 передал Украине станции Tesla Powerwall.  Две амбулатории в Бородянке и в Ирпене получили солнечные…						
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	Иди трахнуйся"	 Путин! (Russian)  #FuckPutin #Ukraine #IStandWithUkraine #StopRussianAggression							
"ru	RT @Ukraine_Twi: 59-я отдельная мотопехотная бригада им. Якова Гандзюка уничтожила еще один русский танк вместе с экипажем. #Ukraine #Russi…"								
"uk	Підключення.　солідарність.　Співчуття. 　#WeStandWithUkraine　 #Ukraine #PrayForUkraine　 #sunflowerfromjapan  #Stop_the_War Ще не вмерла України  https://t.co/HOqvtRN7p9 @YouTube"								
"uk	RT @mil_in_ua: 🇺🇦Українські спецслужби запобігли вивози з Донецької області до Росії комплектуючих до військового обладнання   Комплектуючі…"								
"ru	RT @MaitanovAzamat: Этого сепара и ряженного клоуна из Экибастуза"	 поддерживающего российскую агрессию в Украине	  нашли наши патриоты. Он…						
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	RT @mil_in_ua: 🇺🇦Сили оборони України знищили техніку та живу силу на острові Зміїний  Деталі: https://t.co/igdKlVcGRU  #Україна #Ukraine"								
"ru	Арестович подтвердил успешный удар по передовому командному пункту 2 армии РФ под Изюмом.  #Airdrops #Japan #Japanese  #Ukraine #Russia #UkraineRussie #RussiaUkraineConflict #ЛДНР #ДНР #ЛНР #kyiv #Ukraina #UkraineWar #Mariupol https://t.co/GxxGR4rlVq"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	Хоча"	 пофіг.термій дії ж підходить к кінцю	 чи не так? #war #ukraine #iaea https://t.co/BlvhPI89Xc						
"uk	RT @vip_vetal17: Офіційний представник ООН повідомив"	 що Анджеліна Джолі відвідала 🇺🇦 Україну не з місією ОНН	 а з власної волі.  #Angelina…						
"ru	Приват Банк UA (кредит наличными) API https://t.co/VO58k9Wu6P #UA #Ukraine #кредитонлайнпотелефону #грошікредитнакарту #кредит365вхід #кредитонлайнукраина #кредитинакартусрочно Преимущества работы с оффером:  Минимум полей среди всех ба https://t.co/TLGi3H2VdN"								
"uk	RT @vip_vetal17: Офіційний представник ООН повідомив"	 що Анджеліна Джолі відвідала 🇺🇦 Україну не з місією ОНН	 а з власної волі.  #Angelina…						
"ru	#Ukraine #Belarus #Russia #UkraineRussiaWar #UkraineWar  Из напророченного будущего для России"	      только скорбь великая И заявления кровавые	 ополоумевших людей. В кровавых чащах	 бесы русские по дебрям произвола горе мыкают И смерть	 страдальцам	 не даёт иных путей. https://t.co/n4LAq7nYs7			
"uk	RT @mil_in_ua: 🇺🇦 У вільному доступі з’явилося відео"	 як Збройні Сили України з ПТРК уразили другий російський вертоліт Ка-52  Повідомлено	…						
"uk	RT @FCShakhtar: 💬 Президент УЄФА: «Футбол згуртує нас іще більше після війни»  Александер Чеферін прокоментував ідею проведення благодійног…"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"ru	RT @MaitanovAzamat: Этого сепара и ряженного клоуна из Экибастуза"	 поддерживающего российскую агрессию в Украине	  нашли наши патриоты. Он…						
"uk	Залізний генерал Південь #Ukraine проїбав... https://t.co/Bsi2g8Qtq3"								
"uk	RT @dieshinhoff: +100500 відтінків мого діда...Але цей один з офіційних. Скромно та стильно. #ArtistOnTwitter #art #Ukraine #digital #comic…"								
"uk	Слава Україні🇺🇦💐"	 Путин 	 иди на хуй!  #ukraine #киев #одесса #lviv #суми #луганск #донецк #russia #москва #peace #mariupol #frankfurt #germany #berlin #mykolaiv #StandWithUkraine #луцьк #тернополь #мелитополь #SlavaUkraini #Ukraine https://t.co/LpTzJgMM2T						
"ru	Архив #независимость #everydayukraine #ukraine #україна #смертьнацистам #sovereignty #россиядумай https://t.co/pvww8Vfbpy"								
"uk	RT @viking__inc: Пам’ятаєте я вам говорив про партизанів? так от По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Про…"								
"ru	""""""Укрзализныця"""" назначила на 30 апреля четыре эвакуационных поезда  https://t.co/VP2Vk5nxqa  #Ukraine #war #PutinStopWar"""								
"ru	RT @SharleenLittle4: Сейчас главная проблема #Мариуполя – #геноцид. И дома там разрушают ради паники"	 поэтому не нужно помогать врагу.  Вла…							
"uk	RT @mil_in_ua: 🇺🇸🇺🇦США підготували до 100 українських інструкторів для використання американських артсистем  Деталі: https://t.co/uNxze5Vx4…"								
"uk	RT @mil_in_ua: 🇺🇦🇺🇸 Сполучені Штати показали завантаження гусеничних бронетранспортерів M113 для України  Додатково США відправляють M113 у…"								
"ru	Еще уточнение от бывшего главы МВД Арсена Авакова  #we_ukraine #ukraine  #war  #украина #война #stopwar #ua #stoprussian @ Харків"	 Україна https://t.co/rsVuu2iZmU							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	RT @S_vivat: Игрушки которыми играли украинские дети убитые российскими фашистами в Украине. У каждой игрушки был свой маленький владелец.…"								
"uk	Ідіть ебать себе"	 Путін! (Ukrainian)  #UkraineUnderAttack #PutinWarCrimes #FuckPutin #Ukraine							
"uk	🇺🇦 Загальні бойові втрати противника з 24.02 по 30.04 орієнтовно склали #Ukraine #StopRussia #StopRussianAggression #Україна #Украина #война #війна #war https://t.co/Yq89gaTMRU https://t.co/ASvW8L1jyP  — Gordon Black (@Finnlly) Apr 30"	 2022   https://t.co/2ZCck922Ko							
"uk	RT @WarSvitla: По Херсонщині... За останні дві неділі партизани зарізали 80 рашистів. Просто вночі ріжуть"	 як скотину. Орки намагаются цю і…							
"uk	😂😂😂 Насправді"	 це і правда круто	 що приїхала Джолі. #Україна #Ukraine #standwithukraine https://t.co/TpgwV9barH						
"uk	RT @mil_in_ua: 🇺🇦Російська ППО не змогла збити українську “Валькірію”  Волонтери  показали"	 як безпілотники бачать невлучні пуски ППО ворог…							
"ru	RT @S_vivat: Заксенхаузен (концентрационный лагерь SS). Станция «Z» — здание за территорией лагеря"	 где производились массовые убийства. Та…							
"uk	Що спільного між Тайванем та Україною? Ми перетворюємо ракети наших сусідів на щось корисне. Ми славимо хоробрість українського народу та підтримуємо Україну.  #війна #ТайваньЗУкраїною  #Тайвань #Україна #StandWithUkraine #Ukraina #Ukraine   @ZelenskyyUa @FedorovMykhailo https://t.co/QkYS2sw40Y"								
"uk	""RT @raincoaster: Attention #Anonymous #Hackers new #BREAKING announcement from #Ukraine:  Наші спільні дії змусили ресурси """"Сєвєрсталі"""" ізо…"""								
"ru	RT @Za_nashihVZ: Все"	 что осталось от украинской радиолокационной станции. Лиманское направление	 До Славянска 20 километров. #putin #russi…						
"ru	Вчера артиллерия ВСУ передала привет начальнику генштаба ВС РФ Валерию Герасимову"	 уничтожив 30 единиц русской бронетехники под Изюмом. #Ukraine #Russia #War #RussianUkrainianWar  #Украина #Россия #война https://t.co/Ij0uk74qET							
"ru	22-летний американец погиб в Украине на поле боя https://t.co/zcOfMXeiQt #Russia #Ukraine"								
"ru	Как спится"	 Белгород? #Ukraine #UkraineWar #Україна   https://t.co/389VfR7uWc							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	На благодійному товариському матчі з «Хайдуком» у Спліті гравці «Шахтаря» нагадають світу про відповідальність за людей на «Азовсталі» та у всьому Маріуполі.  #WeAzovstal #SaveMariupol #Маріуполь #Україна #Ukraine #StandWithUkraine"								
"uk	RT @Salmon_Ten: Комуністична партія Китаю є основною причиною лих у всьому світі. #Украина #Россия #агрессияРоссии #вторжениеРоссии #stopru…"								
"ru	Глава семьи"	 которая сегодня вышла с «Азовстали»	 оказался украинским нацистом. #eu #europe #ukraine #мариуполь #украина https://t.co/5j0OD2qx5J						
"uk	RT @mil_in_ua: 🇺🇦 Підрозділи ДССТ у передмісті Києва відкрили автомобільний рух вже на другому тимчасовому мосту  У Фастівському районі при…"								
"ru	RT @alex_sols: #Ukraine под Изюмом ранен начальник Генерального штаба РФ Герасимов. Жаль"	 что не убыли. Зато 150 русских официров и генерал…							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	Я – Одеса! Одеса – це Україна https://t.co/C36n001Sok via @YouTube #Ukraine #ArmUkraineNow #RussiaWarCrimes #StandWithUkraine #ProtectUASky #GripenTillUkraina #GripenToUkraine"								
"uk	Друг розпочав проект із забезпечення житлом та роботою українців у Японії!  Поділіться цим"	 щоб охопити українців Японії. #ウクライナ #Ukraine #підтримка #Japan https://t.co/0nbk28jNig							
"uk	""RT @raincoaster: Attention #Anonymous #Hackers new #BREAKING announcement from #Ukraine:  Наші спільні дії змусили ресурси """"Сєвєрсталі"""" ізо…"""								
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	RT @rustam_kasumov_: Ретвіт❗️Закупилися майже на всі кошти і після обіду розвезли по списках людям.Завтра наступна поїздка у іньшу частину…"								
"uk	RT @mil_in_ua: 🇺🇦🇺🇸 В Сполучених Штатах Америки підготували чергову партію гаубиць M777 для України  Гаубиці доставляються за допомогою літ…"								
"uk	RT @ukrainenewstop: Село #Лукашівка"	 #Чернігівщина. Руські солдати виводили людей на розстріл	 перетворили місцеву церкву у склад боєприпас…						
"ru	RT @S_vivat: Заксенхаузен (концентрационный лагерь SS). Станция «Z» — здание за территорией лагеря"	 где производились массовые убийства. Та…							
"uk	Благодійна організація відправила ЗСУ 16 позашляховиків JAC T8  🇺🇦 Для бригад Збройних Сил України благодійники придбали сучасні позашляховики  Українські захисники отримають машини моделі JAC T8  Деталі: https://t.co/74rfmCpBNE  #Україна #Ukraine  @milinua https://t.co/oLRLNIR1ZY"								
"ru	RT @S_vivat: Заксенхаузен (концентрационный лагерь SS). Станция «Z» — здание за территорией лагеря"	 где производились массовые убийства. Та…							
"ru	Спикер Палаты представителей США приехала в Киев и встретилась с Зеленским https://t.co/ox5IWCsT95 #Ukraine #Russia"								
"ru	Зеленский: Ленд-лиз от США поможет нам победить идейных наследников нацистов – видео https://t.co/BFobkgAanR #Russia #Ukraine"								
"ru	""RT @OctoberNoWar: #Ukraine #Україна #Украина  На берегу Национального природного парка """"Тузловские лиманы"""" в Одесской области нашли трех ме…"""								
"uk	RT @inJesus1994: #Ukraine Жителі Демидіва навмисно затопили своє село разом із величезними полями та болотами навколо нього"	 створивши боло…							
"uk	RT @inJesus1994: #Ukraine Жителі Демидіва навмисно затопили своє село разом із величезними полями та болотами навколо нього"	 створивши боло…							
"ru	RT @blind_eyes89: В Баку находясь в магазине"	 поликлинике или любом другом учреждении если видят ваш Украинский паспорт или слышат Украинск…							
"uk	RT @mil_in_ua: 🇪🇪🇺🇦На суднобудівному заводі в Естонії почали будувати замовлене Україною рятувальне судно"	 яке працюватиме на Чорному морі…							
"ru	#Украина : В ходе боев на востоке украинские силы уничтожили российский БТР-82А. Вид с дрона. #Ukraine #UkraineRussianWar #UkraineWar #War https://t.co/kwy1xf7cWJ"								
"uk	🇺🇦 «Азовсталь» – оплот свободи українського народу». Інтерв’ю із Сергієм Палкіним.  #Shakhtar #Україна #Ukraine #StandWithUkraine https://t.co/tMwp5zncky"								
"uk	@stabilnosti ‼ #Putin Хуй ‼ Dalit / Paria                                                                Слава Збройним Силам України!​ Слава Україні!​🇺🇦🇪🇺 #ukraine #kiev #russia #stoprussia #kyiv #stopputin #lviv #ua #StayWithUkraine https://t.co/WUautDdUqg"								
"ru	RT @ukrainenewstop: Сообщается"	 что #сегодня со стороны #Токмака в сторону #Бердянска прошла российская  ЗРС С-300ВМ «Антей-2500»  Неплохо…							
"uk	краще і не скажеш #Russian #Poland #Белгороде #Ukraine https://t.co/fgrGf2XRzB"								
"uk	Ukrpozyka UA https://t.co/Mtn8jhZFFB #UA #Ukraine #клоканкредит #всікредитионлайннакарту #мікрозаймнакартуукраїна #грошінакартуонлайн #якотриматикредитонлайн Конкурентные преимущества и особенности:   Первый займ под 0 % до 10 000 грн ( https://t.co/Ti1DdkeNIW"								
"ru	В Херсонской области большие проблемы с Интернетом у разных провайдеров. Продолжается это более 18 часов. Связи почти нет. #Ukraine https://t.co/LmWxCu9eCh"								
"uk	#Kyiv #Ukraine #UkraineRussiaWar #StopWarInUkraine  Звернення Президента України Володимира Зеленського за підсумками 65-го ... https://t.co/MABLPKGoPJ через @YouTube"								
"uk	RT @33D651DDC544: Захистити #Україну - Будувати оборонні позиції Defend #Ukraine - Building defensive positions  Що ви можете зробити як ци…"								
"uk	RT @mil_in_ua: 🇵🇱#Польща передала 🇺🇦Україні понад дві сотні танків T-72 та бойові машини піхоти  Цих танків вистачить на оснащення двох тан…"								
